Site Name,Longitude,Latitude,Installed Capacity (MWelec),Development Status (short),Country
Houston Solar PV Farm & Energy Storage Facility,-4.550176729503489,55.86763038812842,25.0,Application Submitted,Scotland
Knockodhar Wind Farm,-4.711140324241472,55.21080772431505,20.0,Application Submitted,Scotland
Meiklelaught Farm - Battery Storage,-4.768628259677737,55.66758135162451,30.0,Awaiting Construction,Scotland
Dunside Wind Farm,-2.56347431917222,55.81551383721759,20.0,Application Submitted,Scotland
Bodinglee Wind Farm,-3.8262443470744656,55.53340668617928,106.0,Application Submitted,Scotland
Rivox Wind Farm - Wind farm,-3.760313983530505,55.384389944641285,90.0,Application Submitted,Scotland
Neilston - Battery Storage,-4.485740791823315,55.80127934773908,150.0,Awaiting Construction,Scotland
Cockenzie Battery Storage System - Site A,-2.961981057773043,55.96749730071619,240.0,Awaiting Construction,Scotland
Fernishaw Solar Farm & Battery Energy Storage Facility,-3.881065155773384,55.81190458793332,25.0,Awaiting Construction,Scotland
"Pittlesheugh Farm Bess, Springwells Farmhouse - Battery Energy Storage",-2.369770980378997,55.68654931447526,340.0,Application Submitted,Scotland
Belston Battery Storage,-4.558778907736401,55.453164262094646,150.0,Awaiting Construction,Scotland
Tofts - Battery Storage,-4.711888718163872,55.70899218159534,19.9,Awaiting Construction,Scotland
Newarthill Energy Park,-3.943099458041106,55.825372421621125,300.0,Awaiting Construction,Scotland
Lairdmannoch Energy Park,-4.094656909194176,54.93288611498661,20.0,Application Submitted,Scotland
Ditcher Law Wind Farm,-2.8040278306984066,55.79481236978382,30.0,Application Submitted,Scotland
Hare Craig Windfarm,-3.997829335865205,55.555963964742936,13.9,Awaiting Construction,Scotland
"Aikengall, Innerwick - Battery Energy Storage",-2.466133727850886,55.94886121046462,19.9,Awaiting Construction,Scotland
"Flatterton Farm, Flatterton Road - Battery Storage",-4.8461254352030805,55.93309405183666,49.9,Awaiting Construction,Scotland
Braxbess Battery Storage,-2.4477525160387748,55.95726697268216,650.0,Awaiting Construction,Scotland
Salters Battery Energy Storage System,-3.052872814793101,55.895096363114725,200.0,Awaiting Construction,Scotland
Kilmarnock Battery Energy Storage System,-4.437999289664783,55.57212686430122,500.0,Awaiting Construction,Scotland
Newlands Hill Wind Energy Hub,-2.6398498050182884,55.87394720738641,136.0,Application Submitted,Scotland
Auchentiber Road - Battery Energy Storage System,-4.694107774910218,55.90620514927308,700.0,Awaiting Construction,Scotland
Gretna Green Battery Storage,-3.054540919188549,55.02853465025333,456.0,Awaiting Construction,Scotland
Neilston  Greener Grid Park - Phase 2,-4.467636231962048,55.80415179704996,750.0,Awaiting Construction,Scotland
Lagrae Battery Energy Storage System,-4.038680235731131,55.40440263820102,400.0,Application Submitted,Scotland
Braston New Energy,-4.594494201253056,55.44309074552521,500.0,Awaiting Construction,Scotland
"Electricity Substation, Bardarroch - Battery Energy Storage",-4.431234073473197,55.44510590309178,29.9,Awaiting Construction,Scotland
Kilwinning Battery Storage,-4.681851326449,55.66259711564208,100.0,Awaiting Construction,Scotland
Crosbie Wind Farm,-4.857533227647904,55.73494662237909,50.0,Application Submitted,Scotland
Red Moss - Battery Storage,-3.77362170765482,55.50559306593975,342.0,Awaiting Construction,Scotland
M74 West Renewable Energy Park,-3.803678557038271,55.555183620935416,50.0,Application Submitted,Scotland
Parkhouse Road - Battery Energy Storage,-4.367211228637361,55.8038621623373,24.0,Awaiting Construction,Scotland
